state_abbv,state_fips,year,website_pollingplace,website_reg_status,website_precinct_ballot,website_absentee_status,website_provisional_status,reg_rej,prov_partic,prov_rej_all,abs_rej_all_ballots,abs_nonret,uocava_rej,uocava_nonret,eavs_completeness,post_election_audit,nonvoter_illness_onyear_pct,nonvoter_illness_offyear_pct,nonvoter_reg_onyear_pct,nonvoter_reg_offyear_pct,online_reg,wait,residual,pct_reg_of_vep_vrs,vep_turnout
"GA","Georgia",2010,1,"1",1,1,"0",.0019959,.0031868,0,.0001697,.0257251,.0447316,.7990428,.993493,0,,.141477,,.0514005,"0",,,.7885268,.4059247
"GA","Georgia",2012,1,"1",1,1,"0",,.0053178,.002761,.0001813,.0168093,.024003,.3453543,.9413403,0,.16754481,,.06287351,,"0",17.77648,.0049256,.8632095,.5865015
"GA","Georgia",2014,1,"1",1,1,"1",.0037512,.0046812,.0019952,.0016662,.1295609,.0448065,.4371418,.9985401,0,,.1291866,,.0471081,"1",7.374517,,.7780347,.3853082
"GA","Georgia",2016,1,"1",1,1,"1",.0029336,.0040363,.0022056,.0032979,.100842,.0814246,.2736933,1,0,.14848693,,.06040053,,"1",16.55033,.0057517,.8330312,.591585
"GA","Georgia",2018,1,"1",1,1,"0",.0025963,.0054668,.0024543,.0019009,.137941,.0563194,.3344725,.9998013,0,,.1522279,,.0429129,"1",15.396,,.8381456,.5502736
"HI","Hawaii",2008,1,"0",,,"",,.0011469,.0008838,.0018352,.0893652,,,.9012241,1,.12623376,,.06466489,,"0",5.735971,.0054807,.6961197,.4903561
"HI","Hawaii",2010,1,"0",1,0,"0",,.0005126,.0003909,.0030637,.0772255,.0619946,.3410302,.9262081,1,,.1151493,,.1021117,"0",,,.6577465,.4009361
"HI","Hawaii",2012,1,"0",1,0,"0",,.0016278,.0013943,.0025322,.0981071,,.3262103,.9262494,1,.12792197,,.0816899,,"0",7.027607,.005638,.7091731,.444745
"HI","Hawaii",2014,1,"1",1,0,"0",,.0004654,.0004042,.0016554,.1423769,.125,.4751381,.9494085,1,,.0897427,,.0969557,"0",2.496192,,.640036,.3649429
"HI","Hawaii",2016,1,"1",1,0,"0",,.0019306,.0016244,.0028421,.1524386,.0259301,.2264261,.9710841,1,.09996945,,.07057734,,"1",3.780215,.01994,.7187587,.4217789
"HI","Hawaii",2018,1,"1",1,0,"1",,.0022976,.0010585,.0079902,.215932,.0111857,,.8333333,1,,.1024153,,.05598,"1",4.425862,,.70885,.3930122
"IA","Iowa",2008,1,"1",,,"",.0081065,.002785,.0002496,.0027941,.0513921,.0813025,.2499575,.9444444,0,.12207783,,.03788294,,"0",5.006278,.0062291,.8531576,.6965688
"IA","Iowa",2010,1,"1",0,1,"0",.0022326,.0017566,.0003079,.0037762,.0597957,.0373444,.5475862,.9993886,0,,.0931856,,.0328383,"0",,,.8240576,.5079022
"IA","Iowa",2012,1,"1",0,1,"0",.0057212,.0031422,.000544,.0051373,.0700988,.0592933,.2159142,1,0,.12272054,,.01885386,,"0",7.495293,.0048876,.864816,.7024691
"IA","Iowa",2014,1,"1",0,1,"0",.0028298,.0029896,.0004141,.0064308,.1027749,.0571956,.3266332,1,0,,.0727264,,.0294497,"0",1.907715,,.8476908,.502327
"IA","Iowa",2016,1,"1",0,1,"0",.0060064,.0016144,.000437,.00268,.0310747,.0381659,.2040688,.9441887,0,.09004534,,.01586474,,"1",3.84448,.0097004,.8584474,.6837921
"IA","Iowa",2018,1,"1",0,1,"0",.0026163,.0076019,.0006078,.0038208,.0935736,.0227155,.2406899,.9995574,1,,.0740915,,.0300386,"1",2.884931,,.8776672,.5770594
"ID","Idaho",2008,1,"0",,,"",,,,.0013438,.0334968,.1277148,.2272357,.9375,0,.15048735,,.02202454,,"0",6.491838,.0186875,.7710114,.6484317
"ID","Idaho",2010,1,"1",0,1,"NA",,,,.0030563,.0660938,.2094595,.5288932,.9375,0,,.1283618,,.0168036,"0",,,.7121072,.4277239
"ID","Idaho",2012,1,"1",0,1,".",,,,.0014318,.0325269,.1358954,.1849817,.9366804,0,.13142571,,.03208783,,"0",7.092125,.0210359,.7705358,.6087676
"ID","Idaho",2014,1,"1",0,1,".",,,,.0016191,.1088059,.1,.2867257,.9375,0,,.1277858,,.013506,"0",1.959351,,.701522,.3960464
"ID","Idaho",2016,1,"1",0,1,".",,,,.0012329,.029666,.1374101,.1514851,.9375,0,.1310991,,.02422966,,"0",8.013486,.028305,.7803469,.591377
"ID","Idaho",2018,1,"1",0,1,".",,0,0,.0019393,.0612896,.0655367,.2195767,.9353741,0,,.1197211,,.0087345,"1",6.496275,,.7210763,.5003255
"IL","Illinois",2008,0,"0",,,"",.0456816,,,,.0742571,.0297539,.3062727,.6392842,1,.1864434,,.06370506,,"0",9.287217,.0098856,.852006,.642565
"IL","Illinois",2010,1,"1",0,0,"1",.4036577,,.0037248,.0007608,.1727937,.046721,.7815896,.9379956,1,,.130213,,.0407699,"0",,,.8180088,.4319448
"IL","Illinois",2012,1,"1",0,0,"1",.0369644,.00383,.0056721,.0007937,.0793134,,,.8224649,1,.1558387,,.06105107,,"0",11.71202,.0071714,.8482321,.5930306
"IL","Illinois",2014,1,"1",0,0,"1",,.0088713,.0023771,.0013721,.1461835,,,.8199335,1,,.125107,,.0364421,"1",4.490543,,.8024021,.4094988
"IL","Illinois",2016,1,"1",0,0,"1",.0340921,.0047393,.002206,.001079,.1204674,.0246251,.2156082,.9996744,1,.12755969,,.04162676,,"1",6.372737,.0125823,.8841081,.619076
"IL","Illinois",2018,1,"1",0,0,"1",,.0040482,.0014616,.0019174,.1596732,,,.8936481,1,,.1252018,,.0237291,"1",5.929732,,.8636311,.5140406
"IN","Indiana",2008,1,"1",,,"",.0204084,,,,.0365818,,.4717899,.9436936,0,.17045112,,.06861136,,"0",24.05688,.0193628,.8106478,.6030463
"IN","Indiana",2010,1,"1",1,1,"1",.544636,.0010168,.0006178,.0042425,,.0681576,.7370199,.9826866,0,,.1250947,,.025923,"1",,,.7351322,.3800622
"IN","Indiana",2012,1,"1",1,1,"1",.0407637,.0018026,.0015007,.0045217,.0065626,.2058374,.1347832,.9932502,0,.17448731,,.06457779,,"1",14.31977,.0145808,.7842379,.5596369
"IN","Indiana",2014,1,"1",1,1,"1",.0404753,,,.0044887,.0088934,.1613833,.1029301,.968887,0,,.1069577,,.0226889,"1",4.858101,,.751587,.2882431
"IN","Indiana",2016,1,"1",1,1,"1",.0659661,.0010711,.0008437,.0007399,.0026247,.0252196,.0877317,1,0,.17443781,,.05207844,,"1",17.09024,.0177785,.8135898,.5636001
"IN","Indiana",2018,1,"1",1,1,"1",.058564,.0009792,.00072,,.0054922,.0156342,.2012253,.9883077,0,,.1008081,,.0290111,"1",10.68126,,.8190028,.4688658
"KS","Kansas",2008,0,"1",,,"",.000404,.031835,.0098227,.0032542,.0658288,.1010196,.2447344,.8860591,0,.1657014,,.05095426,,"0",10.75167,,.7717946,.6347194
"KS","Kansas",2010,1,"1",1,1,"0",.0003471,.0210888,.0059079,.0049309,.1631055,.0357654,.7018052,1,0,,.1197259,,.0352724,"1",,,.7672316,.4168779
"KS","Kansas",2012,1,"1",1,1,"0",,.0348477,.0120929,.0045388,,.056887,.2277816,.9444444,0,.15518427,,.06523893,,"1",11.49815,.0224194,.8128678,.5812451
"KS","Kansas",2014,1,"1",1,0,"0",,.0256562,.0074088,.0025223,.119611,.0174927,.208284,.9444444,0,,.1160567,,.0262487,"1",4.458911,,.7505795,.4340021
"KS","Kansas",2016,1,"1",1,0,"0",,.033406,.0112114,.0035644,.0881266,.0128312,.1590704,.939796,0,.13775086,,.05513639,,"1",5.504723,.025307,.8075151,.5772641
"KS","Kansas",2018,1,"1",0,.5,"0",,.0220005,.0058258,.0014242,.098428,.003642,.1043802,.9419301,0,,.1281831,,.0298225,"1",4.555366,,.8262428,.5115109
"KY","Kentucky",2008,1,"1",,,"",,.0004593,.0003642,.0010153,.0618627,,.2498479,.7222222,0,.22425771,,.05889091,,"0",12.31409,.0188383,.8316791,.5895327
"KY","Kentucky",2010,1,"1",0,0,"1",.2089105,.0000726,.0000677,.0008419,.0254521,.0656934,.2651515,.9995568,0,,.17314,,.0273906,"0",,,.764523,.4414108
"KY","Kentucky",2012,1,"1",0,0,"1",.2089529,.000158,.0001305,.000999,.0808597,.0809474,.2237081,1,0,.17743474,,.04519943,,"0",8.032156,.0102602,.8081189,.5590128
"KY","Kentucky",2014,1,"1",0,0,"1",,.0000898,.0000767,.0009333,.0679464,.1018277,.3571429,.9444444,0,,.1482159,,.0271423,"0",7.070019,,.8075726,.4403564
"KY","Kentucky",2016,1,"1",1,1,"1",.6719736,.0001493,.0001195,.0011004,.1036478,.0418269,.4587776,1,0,.166482,,.04025738,,"1",7.643252,.0166829,.8296631,.5872304
"KY","Kentucky",2018,1,"1",1,1,"1",.6378909,.0001142,.0001043,.0010842,.1165025,.1324232,.4279578,.9990387,1,,.156856,,.0256004,"1",8.267064,,.8092319,.4856621
"LA","Louisiana",2008,1,"0",,,"",.0590698,.0040746,.0023788,.0009476,.0259305,.0691343,.2909663,1,0,.2016062,,.04526043,,"0",19.07261,.0107515,.8808801,.6175855
"LA","Louisiana",2010,1,"1",1,1,"1",.1159358,.0002171,.000027,.0006461,.3442466,.1043643,.8804892,1,0,,.1732257,,.0413225,"1",,,.86245,.3994141
"LA","Louisiana",2012,1,"1",1,1,"1",.0780137,.0034063,.0021112,.0011784,.2173492,.0428422,.3880275,1,0,.17045942,,.03318321,,"1",20.24693,.0101675,.8502548,.6100044
"LA","Louisiana",2014,1,"1",1,1,"1",.0992271,.0010419,.0006689,.0012666,.2978559,.0640074,.8479988,1,0,,.1467682,,.0382911,"1",6.663304,,.8212861,.4505637
"LA","Louisiana",2016,1,"1",1,1,"1",.0528649,.002409,.0017826,.0011079,.2150946,.0593993,.4196441,1,1,.18314131,,.04184529,,"1",12.29062,.0100018,.8641496,.6001365
"LA","Louisiana",2018,1,"1",1,1,"1",.0559535,.0006114,.0004587,.0017084,.3282754,.0956468,.773755,1,1,,.1427252,,.0386513,"1",5.057682,,.8429124,.4476399
"MA","Massachusetts",2008,1,"0",,,"",,.0037744,.002718,.0006381,.0913532,.073864,.2611423,.6666667,0,.22329813,,.08706032,,"0",5.630793,.006981,.8705575,.6727288
"MA","Massachusetts",2010,1,"0",1,0,"0",.0330891,.0012405,.0008707,,.0588798,.0794937,.3245554,.8756685,0,,.171793,,.0221932,"0",,,.8188984,.4966685
"MA","Massachusetts",2012,1,"0",1,1,"0",.0334102,.0040575,.0030215,.0007845,.0823438,.0050396,.1808857,.9998856,0,.20336337,,.06830429,,"0",8.758975,.0051595,.8773614,.6659518
"MA","Massachusetts",2014,1,"1",1,1,"0",.0475713,.0012004,.0008862,.0004971,.0906886,.0067859,.2935498,1,0,,.1670783,,.0200162,"0",3.231891,,.8059961,.446268
"MA","Massachusetts",2016,1,"1",1,1,"0",.0334912,.002175,.0015227,.0015248,.1074175,.0095038,.1721112,.9999976,1,.19432175,,.0651627,,"1",5.338932,.0159095,.8767485,.6721011
"MA","Massachusetts",2018,1,"1",1,1,"0",.0461883,.0017424,.0012159,.0018728,.1518861,.0066093,.1788859,.9987447,1,,.1625401,,.0252902,"1",3.697242,,.8572566,.5459034
"MD","Maryland",2008,1,"1",,,"",,.0192204,.0064431,.0007224,.0926865,.0856509,.1741222,.8888889,1,.19235945,,.09176812,,"0",24.49189,.0113862,.8700553,.6781721
"MD","Maryland",2010,1,"1",1,1,"1",.0211606,.0199868,.0017113,.000607,.1456143,.1556095,.7464697,.9997876,1,,.1379261,,.0393463,"0",,,.812158,.4647394
"MD","Maryland",2012,1,"1",1,1,"1",.0025462,.0292138,.0040703,.0005537,.1245651,.1123021,.2578093,1,1,.19453773,,.06644569,,"1",29.18414,.0097785,.8707171,.6681667
"MD","Maryland",2014,1,"1",1,1,"1",.0001112,.0200928,.0014927,.0003977,.1906705,.0920852,.4571671,1,1,,.1217499,,.0387829,"1",4.791954,,.8518541,.4151856
"MD","Maryland",2016,1,"1",1,1,"1",.0015408,.0280195,.0033566,.0008506,.2210732,.076238,.3234063,1,1,.16130018,,.05530486,,"1",15.78131,.0092173,.8847268,.6659779
"MD","Maryland",2018,1,"1",1,1,"1",.0025933,.0233435,.0022628,.0008552,.2223271,.0296821,.3199795,1,1,,.1298147,,.0274132,"1",9.851649,,.8868241,.5422356
"ME","Maine",2008,1,"0",,,"",.008236,,,.0024635,.0276688,.0559273,.2873508,.9314949,0,.13937449,,.01420892,,"0",4.3596,.017856,.8645574,.7184191
"ME","Maine",2010,1,"0",1,0,"NA",.0104181,.000275,0,.0019584,.0368565,.0500759,.5104012,.9997647,0,,.1015629,,.0074562,"0",,,.8598595,.5600411
"ME","Maine",2012,1,"0",1,0,".",.0165906,.0004346,0,.0029748,.0319774,.0794365,.2551909,.9999949,0,.15452802,,.01218966,,"0",3.730127,.015975,.8545574,.6916283
"ME","Maine",2014,1,"1",1,0,".",.0184159,.0001396,0,.0022104,.0388701,.03,.2332361,.9999197,0,,.1191811,,.0096398,"0",4.767301,,.8482357,.5852008
"ME","Maine",2016,1,"1",1,0,"1",.0111876,.0002514,0,.0031908,.0226125,.5,0,1,0,.14256482,,.00995806,,"0",4.057429,.0311288,.8765755,.7049893
"ME","Maine",2018,1,"1",1,,"0",.0088605,.0004894,0,.0032922,.0402722,.0297644,.2027027,1,0,,.1268588,,.0096398,"0",5.001592,,.8712323,.6020591
"MI","Michigan",2008,1,"1",,,"",.0023448,.0007535,.0003917,.0016918,.0250295,.0905497,.2733931,.9634053,0,.15839989,,.04656121,,"0",20.39494,.0074049,.9044471,.6970152
"MI","Michigan",2010,1,"1",1,1,"0",.0025674,.0002563,.0001568,.0016677,.0457065,.0885368,.32848,1,0,,.1182201,,.0328043,"0",,,.8678957,.4516394
"MI","Michigan",2012,1,"1",1,1,"0",.0027539,.0005595,.0003106,.0016836,.029106,.0872351,.2511595,1,1,.16374734,,.03245489,,"0",21.92964,.0104043,.8952891,.653347
"MI","Michigan",2014,1,"1",1,1,"0",.0017235,.0003559,.0001402,.001604,.0723994,.0274646,.2455328,1,0,,.1241645,,.0243783,".5",2.884609,,.8664779,.4315599
"MI","Michigan",2016,1,"1",1,1,"0",.0007218,.0003879,.0003186,.0012659,.0612349,.0251353,.2177158,1,0,.13583705,,.03093756,,".5",8.301167,.010273,.8890972,.6465221
"MI","Michigan",2018,1,"1",1,1,"0",.0006761,.0001778,.0001262,.0013851,.054815,.0158915,.2464294,.9999469,0,,.1199042,,.0236532,"0",6.792833,,.8922639,.5777812
"MN","Minnesota",2008,1,"0",,,"",.0013859,,,.003398,,.063601,.2778373,.968371,1,.13356462,,.01187608,,"0",8.646645,.0033713,.9181286,.7810257
"MN","Minnesota",2010,1,"1",1,1,"NA",.0023995,,,.0036711,.0709079,.0734118,.349872,.9750772,1,,.1185615,,.0143632,"0",,,.8534724,.5586067
"MN","Minnesota",2012,1,"1",1,1,".",.0008924,,,.0026342,.0431996,.0763144,.2107462,1,1,.16280241,,.01234857,,"0",6.224818,.0048187,.8768958,.7611475
"MN","Minnesota",2014,1,"1",1,1,".",.0012605,,,.0024042,.1710997,.0653824,.3742975,1,1,,.1072707,,.0091464,"1",2.395515,,.8252797,.5050809
"MN","Minnesota",2016,1,"1",1,1,".",.000659,,,.0020449,.0754312,.0757648,.2334821,1,1,.15444912,,.02014818,,"1",6.853027,.0077648,.8865658,.7424856
"MN","Minnesota",2018,1,"1",1,1,".",.0007705,0,0,.0028565,.1129947,.1268927,.2836595,1,1,,.1076993,,.0092386,"1",3.367961,,.8842356,.6424988
"MO","Missouri",2008,1,"1",,,"",,.0023175,.0017253,.0018226,.0426211,.0460646,.1912849,.9568514,1,.16619581,,.09915379,,"0",25.94895,,.8546824,.691386
"MO","Missouri",2010,1,"1",1,0,"0",,.001859,.0010259,.0010335,.0367766,.0770588,.6100417,.9761097,1,,.1527473,,.0449207,"0",,,.8176373,.4446764
"MO","Missouri",2012,1,"1",1,0,"0",.0843807,.0022504,.0015879,.0017868,.0459155,.0386089,.2168997,.9968871,1,.16751409,,.07580572,,"0",12.70876,,.867941,.6251281
