state_abbv,state_fips,year,website_pollingplace,website_reg_status,website_precinct_ballot,website_absentee_status,website_provisional_status,reg_rej,prov_partic,prov_rej_all,abs_rej_all_ballots,abs_nonret,uocava_rej,uocava_nonret,eavs_completeness,post_election_audit,nonvoter_illness_pct,nonvoter_reg_pct,online_reg,wait,residual,pct_reg_of_vep_vrs,vep_turnout
DE,Delaware,2014,1,1,1,1,1,.052332196,.00026038385,.00022678594,.00026038385,.2352455,.014925373,.58333331,1,1,.13460839,.0097445119,1,2.6545055,,.82484239,.34355411
DE,Delaware,2016,1,1,1,1,1,.075797476,.00066039443,.00060907996,.00048190943,.11925396,.039952297,.19599999,1,1,.17922233,.040369224,1,4.8895535,.0031759001,.86986911,.64607763
FL,Florida,2008,0,0,,,,.004399329,.0041850614,.0021516629,.0021675178,.1405957,.023756657,.21624449,1,1,.16753253,.09558636,0,28.842903,.0073532597,.87688965,.66630977
FL,Florida,2010,1,1,1,1,0,,.0024080221,.00061949797,.003284198,.28984806,.041071605,.59559172,.8888889,1,.14275527,.049509555,0,,,.81821364,.42283514
FL,Florida,2012,1,1,1,1,0,.06299036,.0049949214,.0021157574,.0024057887,.18155128,.030868916,.2495005,1,1,.14670882,.078275204,0,44.976986,.0074809999,.85260403,.63962775
FL,Florida,2014,1,1,0,1,0,.035802357,.0020797148,.00089048065,.0031404635,.29058906,.037826527,.62880993,1,1,.13201837,.040190328,0,3.5993516,,.82284784,.43262726
FL,Florida,2016,1,1,0,1,0,.060156364,.0025442939,.0014001938,.0022855997,.21709415,.031663492,.27674547,.99996954,1,.13161255,.060301427,0,5.5254335,.0081146201,.87011325,.65744931
GA,Georgia,2008,1,1,,,,.0014454132,.0043674703,.0022620803,.00088204537,.016428875,.022578212,.31324145,.99987966,,.14203437,.058490496,0,37.570423,.0053731385,.84935278,.62731379
GA,Georgia,2010,1,1,1,1,0,.0019959128,.0031867665,0,.00016965081,.025725136,.04473161,.79904282,.99349302,0,.14147703,.05140049,0,,,.78852683,.40592468
GA,Georgia,2012,1,1,1,1,0,,.0053177718,.0027609877,.0001813041,.016809292,.024002982,.34535429,.94134033,0,.16754481,.062873505,0,17.776478,.0049255998,.86320949,.58650154
GA,Georgia,2014,1,1,1,1,1,.0037511552,.0046812412,.0019952389,.0016662307,.1295609,.044806518,.43714178,.9985401,0,.12918662,.047108091,1,7.3745174,,.77803469,.38530818
GA,Georgia,2016,1,1,1,1,1,.0029336396,.0040362552,.0022056052,.0032979187,.10084204,.081424557,.27369326,1,0,.14848693,.060400531,1,16.550327,.0057516601,.83303124,.59887046
HI,Hawaii,2008,1,0,,,,,.0011469072,.00088375446,.001835227,.089365236,,,.90122408,1,.12623376,.064664885,0,5.735971,.0054806615,.69611973,.49035606
HI,Hawaii,2010,1,0,1,0,0,,.00051255233,.00039088589,.0030637272,.077225536,.061994608,.34103021,.92620814,1,.11514931,.10211167,0,,,.65774649,.4009361
HI,Hawaii,2012,1,0,1,0,0,,.0016278442,.0013943138,.0025322021,.098107144,,.32621035,.92624938,1,.12792197,.081689902,0,7.0276074,.0056380001,.70917314,.444745
HI,Hawaii,2014,1,1,1,0,0,,.0004653935,.0004041575,.0016554128,.14237691,.125,.47513813,.94940847,1,.08974275,.096955746,0,2.496192,,.64003599,.36494294
HI,Hawaii,2016,1,1,1,0,0,,.0019305593,.0016244114,.0028421488,.15243857,.025930101,.22642608,.97108406,1,.099969447,.070577338,1,3.780215,.01993995,.7187587,.43036032
IA,Iowa,2008,1,1,,,,.0081065455,.0027850289,.00024959861,.0027940818,.051392086,.081302524,.24995746,.94444442,0,.12207783,.037882935,0,5.006278,.0062290933,.85315764,.69656885
IA,Iowa,2010,1,1,0,1,0,.0022326242,.0017566164,.00030791518,.0037761519,.059795722,.0373444,.5475862,.99938858,0,.093185626,.0328383,0,,,.82405758,.5079022
IA,Iowa,2012,1,1,0,1,0,.0057211816,.0031422351,.00054404192,.0051372652,.070098765,.059293274,.21591417,1,0,.12272054,.018853858,0,7.4952931,.0048876,.86481595,.70246911
IA,Iowa,2014,1,1,0,1,0,.0028298197,.0029895536,.00041407289,.0064308234,.1027749,.05719557,.32663316,1,0,.072726414,.029449739,0,1.9077146,,.84769076,.50232697
IA,Iowa,2016,1,1,0,1,0,.0060063605,.001614422,.00043696261,.0026799531,.031074671,.038165916,.20406879,.94418871,0,.09004534,.015864743,1,3.8444796,.0097004399,.85844737,.69049013
ID,Idaho,2008,1,0,,,,,,,.0013438081,.033496846,.12771475,.22723566,.9375,0,.15048735,.022024538,0,6.491838,.018687472,.77101141,.64843172
ID,Idaho,2010,1,1,0,1,,,,,.0030563001,.06609384,.20945945,.52889323,.9375,0,.12836178,.016803563,0,,,.71210724,.42772385
ID,Idaho,2012,1,1,0,1,,,,,.0014318089,.032526884,.1358954,.18498169,.93668038,0,.13142571,.032087829,0,7.0921254,.0210359,.77053583,.60876757
ID,Idaho,2014,1,1,0,1,,,,,.0016191077,.10880586,.1,.28672567,.9375,0,.12778582,.013506046,0,1.9593509,,.70152199,.39604637
ID,Idaho,2016,1,1,0,1,,,,,.0012329433,.029666021,.13741007,.15148515,.93333334,0,.1310991,.024229661,0,8.0134859,.02823665,.78034693,.60876042
IL,Illinois,2008,0,0,,,,.045681644,,,,.074257091,.029753905,.30627272,.63928419,1,.1864434,.063705064,0,9.2872171,.0098856352,.85200596,.64256495
IL,Illinois,2010,1,1,0,0,1,.40365773,,.0037247699,.00076075364,.17279367,.046720959,.78158963,.93799561,1,.13021304,.040769868,0,,,.81800878,.43194485
IL,Illinois,2012,1,1,0,0,1,.03696442,.0038300187,.0056720795,.00079370907,.079313412,,,.82246494,1,.1558387,.061051067,0,11.712019,.0071713999,.84823209,.59303057
IL,Illinois,2014,1,1,0,0,1,,.008871288,.0023770852,.0013720545,.14618348,,,.81993347,1,.12510701,.036442086,1,4.4905429,,.80240214,.40949884
IL,Illinois,2016,1,1,0,0,1,.034092117,.0047392948,.0022060375,.0010790143,.12046736,.024625121,.21560822,.99967438,1,.12755969,.041626759,1,6.3479285,.01258234,.88410807,.63357818
IN,Indiana,2008,1,1,,,,.020408385,,,,.036581814,,.4717899,.94369364,0,.17045112,.068611361,0,24.056875,.019362837,.81064779,.6030463
IN,Indiana,2010,1,1,1,1,1,.54463601,.0010168364,.00061780348,.0042424863,,.068157613,.7370199,.98268664,0,.12509474,.025922967,1,,,.73513222,.38006222
IN,Indiana,2012,1,1,1,1,1,.040763713,.0018026014,.0015007285,.0045216614,.0065625943,.20583738,.13478316,.99325019,0,.17448731,.064577788,1,14.319768,.0145808,.78423786,.55963689
IN,Indiana,2014,1,1,1,1,1,.040475342,,,.0044887168,.0088933939,.16138329,.10293013,.96888703,0,.10695765,.022688877,1,4.8581014,,.75158703,.28824309
IN,Indiana,2016,1,1,1,1,1,.065966077,.0010711486,.0008437105,.00073988008,.0026246607,.025219608,.087731667,1,0,.17443781,.052078437,1,17.001461,.01770539,.81358975,.57858533
KS,Kansas,2008,0,1,,,,.00040395139,.031834971,.0098226573,.003254218,.0658288,.10101964,.24473436,.88605911,0,.1657014,.05095426,0,10.751668,,.77179462,.63471937
KS,Kansas,2010,1,1,1,1,0,.00034708099,.021088826,.0059079495,.0049308697,.16310549,.03576538,.70180523,1,0,.11972587,.035272442,1,,,.76723164,.4168779
KS,Kansas,2012,1,1,1,1,0,,.034847721,.012092916,.0045387666,,.056886952,.22778158,.94444442,0,.15518427,.06523893,1,11.498145,.022419401,.81286782,.58124512
KS,Kansas,2014,1,1,1,0,0,,.025656246,.0074088224,.0025222974,.11961104,.017492712,.20828402,.94444442,0,.11605674,.026248664,1,4.4589114,,.75057954,.43400207
KS,Kansas,2016,1,1,1,0,0,,.033406049,.011211362,.0035643908,.088126555,.012831241,.1590704,.93979597,0,.13775086,.055136386,1,5.5047231,.025220551,.80751514,.59737623
KY,Kentucky,2008,1,1,,,,,.00045928801,.00036420734,.0010152683,.061862666,,.24984793,.72222221,0,.22425771,.058890909,0,12.314087,.018838329,.83167911,.58953273
KY,Kentucky,2010,1,1,0,0,1,.20891052,.000072637777,.000067701229,.00084186648,.02545213,.065693431,.2651515,.99955684,0,.17314005,.027390575,0,,,.76452303,.44141084
KY,Kentucky,2012,1,1,0,0,1,.2089529,.0001580487,.00013051408,.00099895592,.080859654,.080947421,.22370806,1,0,.17743474,.045199431,0,8.032156,.0102602,.80811894,.55901283
KY,Kentucky,2014,1,1,0,0,1,,.000089762361,.000076743396,.00093325449,.067946449,.10182767,.35714287,.94444442,0,.14821595,.02714232,0,7.0700188,,.8075726,.44035643
KY,Kentucky,2016,1,1,1,1,1,.67197359,.00014928788,.00011953291,.001100421,.10364778,.041826922,.45877764,1,0,.166482,.040257376,1,7.6432524,.01287877,.8296631,.59670532
LA,Louisiana,2008,1,0,,,,.059069838,.0040745875,.00237882,.00094759022,.025930472,.069134295,.29096627,1,0,.2016062,.045260426,0,19.072609,.010751489,.88088006,.61758554
LA,Louisiana,2010,1,1,1,1,1,.11593584,.00021714874,.000026951086,.00064605603,.34424663,.10436433,.88048917,1,0,.17322573,.041322529,1,,,.86245,.39941409
LA,Louisiana,2012,1,1,1,1,1,.078013681,.0034062858,.0021111823,.0011784497,.21734925,.042842217,.38802752,1,0,.17045942,.033183213,1,20.246925,.0101675,.85025477,.61000437
LA,Louisiana,2014,1,1,1,1,1,.099227093,.0010419056,.00066889409,.0012666434,.29785588,.064007424,.8479988,1,0,.14676817,.038291141,1,6.6633039,,.82128608,.45056367
LA,Louisiana,2016,1,1,1,1,1,.052864868,.0024090132,.0017826112,.0011079119,.21509458,.059399333,.41964409,1,1,.18314131,.041845292,1,12.251608,.01000228,.86414963,.6061995
MA,Massachusetts,2008,1,0,,,,,.003774418,.0027180193,.00063809322,.09135323,.073864043,.26114234,.66666669,0,.22329813,.087060317,0,5.6307926,.0069809905,.87055755,.67272878
MA,Massachusetts,2010,1,0,1,0,0,.033089068,.001240537,.00087070354,,.058879778,.079493672,.3245554,.87566853,0,.17179298,.022193173,0,,,.81889844,.49666852
MA,Massachusetts,2012,1,0,1,1,0,.033410184,.0040575392,.0030214849,.00078449945,.082343772,.0050395969,.18088569,.99988562,0,.20336337,.068304285,0,8.758975,.0051595001,.87736136,.66595179
MA,Massachusetts,2014,1,1,1,1,0,.04757132,.0012003885,.00088622968,.00049707515,.090688571,.0067859348,.29354981,1,0,.16707827,.020016162,0,3.2318907,,.80599606,.44626799
MA,Massachusetts,2016,1,1,1,1,0,.03349122,.0021750319,.0015227295,.0015248012,.10741748,.0095037501,.17211124,.99999756,1,.19432175,.065162696,1,5.3143082,.015909489,.8767485,.68296677
MD,Maryland,2008,1,1,,,,,.019220445,.0064431299,.00072241499,.092686459,.085650876,.17412223,.8888889,1,.19235945,.091768123,0,24.491892,.011386206,.87005526,.67817211
MD,Maryland,2010,1,1,1,1,1,.021160603,.019986844,.0017112921,.00060700823,.14561431,.15560949,.74646968,.99978763,1,.13792613,.039346278,0,,,.81215799,.46473944
MD,Maryland,2012,1,1,1,1,1,.002546194,.029213782,.0040703113,.00055372907,.12456508,.11230206,.25780928,1,1,.19453773,.066445693,1,29.184135,.0097784996,.87071711,.6681667
MD,Maryland,2014,1,1,1,1,1,.00011122233,.020092785,.0014927477,.00039768402,.19067051,.092085235,.45716709,1,1,.12174992,.03878291,1,4.791954,,.85185409,.41518563
MD,Maryland,2016,1,1,1,1,1,.0015407838,.028019546,.0033565748,.00085063151,.22107317,.076237977,.32340634,1,1,.16130018,.055304859,1,15.716783,.0092173303,.88472676,.67217356
ME,Maine,2008,1,0,,,,.0082359603,,,.0024635438,.027668796,.055927344,.28735083,.93149489,0,.13937449,.014208925,0,4.3595996,.017855991,.86455745,.71841908
ME,Maine,2010,1,0,1,0,,.010418122,.00027504939,0,.001958373,.036856454,.050075874,.51040119,.99976468,0,.10156292,.0074562384,0,,,.85985947,.56004107
ME,Maine,2012,1,0,1,0,,.016590558,.00043464883,0,.0029747819,.031977423,.079436451,.25519088,.99999487,0,.15452802,.012189665,0,3.7301269,.015975,.85455739,.69162834
ME,Maine,2014,1,1,1,0,,.018415928,.00013956711,0,.0022103535,.03887013,.029999999,.23323615,.99991965,0,.11918105,.0096398257,0,4.7673006,,.84823573,.58520085
ME,Maine,2016,1,0,1,0,,.011187607,.00025135346,0,.0031907565,.022612514,.039838746,.12383323,1,0,.14256482,.0099580623,0,4.0574293,.031047091,.87657547,.72757858
MI,Michigan,2008,1,1,,,,.0023447599,.00075351057,.00039173817,.001691777,.025029462,.090549745,.27339312,.96340525,0,.15839989,.046561211,0,20.394936,.007404923,.90444714,.69701523
MI,Michigan,2010,1,1,1,1,0,.0025673979,.00025625547,.00015682221,.0016676554,.045706462,.088536814,.32848004,1,0,.11822011,.032804269,0,,,.86789572,.45163938
MI,Michigan,2012,1,1,1,1,0,.002753898,.0005595414,.0003106239,.0016836443,.029105969,.08723513,.25115955,1,1,.16374734,.032454889,0,21.929638,.0104043,.89528906,.65334696
MI,Michigan,2014,1,1,1,1,0,.0017235249,.00035591586,.00014017127,.0016039732,.07239937,.027464585,.24553277,1,0,.12416449,.024378328,.5,2.8846095,,.86647791,.43155986
MI,Michigan,2016,1,1,1,1,0,.00072183635,.00038792775,.00031858901,.0012659451,.061234888,.025135277,.21771577,1,0,.13583705,.030937558,.5,8.3011665,.01027301,.88909715,.65667069
MN,Minnesota,2008,1,0,,,,.001385901,,,.0033979788,,.063601024,.27783731,.96837097,1,.13356462,.011876082,0,8.6466446,.0033713283,.91812861,.78102571
MN,Minnesota,2010,1,1,1,1,,.0023994846,,,.0036710529,.070907921,.073411763,.34987196,.97507721,1,.11856145,.014363226,0,,,.85347235,.55860668
MN,Minnesota,2012,1,1,1,1,,.00089243473,,,.0026342187,.043199636,.076314405,.21074623,1,1,.16280241,.012348572,0,6.2248178,.0048186998,.87689584,.7611475
MN,Minnesota,2014,1,1,1,1,,.0012604789,,,.0024042206,.17109971,.065382369,.3742975,1,1,.1072707,.00914637,1,2.3955147,,.82527971,.50508094
MN,Minnesota,2016,1,1,1,1,,.00065895385,,,.0020448968,.075431183,.07576482,.23348211,1,1,.15444912,.020148177,1,6.8095851,.0077647599,.8865658,.7484026
MO,Missouri,2008,1,1,,,,,.0023174956,.0017252541,.0018226488,.042621091,.046064563,.19128491,.95685136,1,.16619581,.099153794,0,25.948952,,.85468245,.69138604
MO,Missouri,2010,1,1,1,0,0,,.0018590366,.0010258999,.0010335409,.036776628,.077058822,.61004174,.97610974,1,.1527473,.044920672,0,,,.81763732,.44467643
MO,Missouri,2012,1,1,1,0,0,.084380686,.0022504414,.0015879464,.0017868357,.045915473,.038608871,.21689971,.99688709,1,.16751409,.075805716,0,12.708758,,.86794096,.62512809
MO,Missouri,2014,1,1,1,0,0,.00027753014,.00063683506,.00042544026,.00093504082,.063870698,.027162978,.42073897,1,1,.14241342,.032540061,1,3.1394763,,.83450449,.31784981
MO,Missouri,2016,1,1,1,0,0,.0051779333,.0020060695,.0012788115,.0019668073,.047387026,.015799046,.26176393,.93338853,1,.17090154,.057231013,1,13.852711,,.85385305,.62315291
MS,Mississippi,2008,0,0,,,,,,,,,,,.73522353,0,.18534994,.082517818,0,11.003478,,.86822695,.61033803
MS,Mississippi,2010,1,0,0,0,0,,,,,,,.19803064,.78488696,0,.18514644,.028362807,0,,,.82203442,.36976951
MS,Mississippi,2012,1,0,0,0,0,,,,,,,,.72145492,0,.20690326,.064829573,0,7.6922841,,.90198112,.59715945
MS,Mississippi,2014,1,0,1,0,0,,.0068130037,.0014530215,.00090705702,.091957614,.016393442,.45183486,.93520528,0,.18549965,.019775048,0,2.4311097,,.85243696,.28886363
MS,Mississippi,2016,1,1,1,0,0,.0021845177,.017772254,.0044271462,.0013073062,.060113691,.0089538172,.26599792,.94117647,0,.1873583,.074973874,.5,8.0150881,,.87040883,.55569112
MT,Montana,2008,0,0,,,,.0098771993,.0075603044,.00020096503,.0039429339,.040864982,.067111276,.32452235,.99594539,0,.13680297,.037115555,0,6.151454,.011682765,.80206931,.67075151
MT,Montana,2010,1,1,0,1,0,.01654961,.0074585397,.00034323445,.0021874388,.092260964,.037785016,.6082828,.99953473,1,.11883008,.032883275,0,,,.77676022,.48410967
MT,Montana,2012,1,1,1,1,0,.011017652,.011305659,.0005447531,.0017338597,.092669837,.0099293906,.32993457,1,1,.13012452,.055354655,0,16.500921,.0163304,.82720506,.63631624
MT,Montana,2014,1,1,1,1,0,.033067964,.012206051,.00041997587,.0025011301,.11135978,.012626262,.34151787,1,1,.10064928,.033373777,0,2.1021338,,.74180895,.47262946
MT,Montana,2016,1,1,1,1,0,.006037029,.014732028,.00060746644,.0021764322,.050939344,.007746479,.15023097,.94444442,1,.084571235,.048443869,0,3.2841644,.029171931,.82239437,.64260685
NC,North Carolina,2008,1,1,,,,.032517947,.012442036,.0063318931,.0061039184,.14487933,.07939408,.32958293,1,1,.16834645,.075279579,0,21.043921,.010054262,.84509921,.66135651
NC,North Carolina,2010,1,1,1,1,1,.090812206,.0097222729,.0039111995,.00027585379,.11783835,.083762445,.78186274,1,1,.14249183,.031586118,0,,,.79335552,.39793816
NC,North Carolina,2012,1,1,1,1,1,.042992044,.011276444,.0061303219,.00049276068,.10708314,.0089706071,.20891842,1,1,.17357709,.077260487,0,13.546648,.0081708999,.88821244,.65163881
NC,North Carolina,2014,1,1,1,1,1,.061113749,.0064251767,.0033573767,.0013204014,.19062819,.0084997872,.28174603,1,1,.12984751,.02300629,0,8.7539063,,.83044565,.41218305
NC,North Carolina,2016,1,1,1,1,1,.10580328,.012929739,.0071971421,.0010364174,.15636574,.013194882,.18767193,1,1,.16480404,.072475128,0,14.256379,.0058864001,.8798371,.65172887
ND,North Dakota,2008,1,,,,,,,,.001202795,.06355159,.022593319,.23375653,1,1,.10326316,.022512216,,5.3196974,.016180212,,.63620675
ND,North Dakota,2010,1,,1,1,,,,,.00075506454,.061139148,.0054644807,.33834586,1,1,.075032964,.014874974,,,,,.4666774
ND,North Dakota,2012,1,,1,1,,,,,.0011004203,.054636128,.013584905,.18306351,1,1,.10116036,.023247866,,7.4575806,.0089915004,,.61075699
ND,North Dakota,2014,1,,1,1,,,,,.0023522044,.061476897,.013605442,.2017291,1,1,.07649231,.018194163,,3.7932556,,,.44983187
ND,North Dakota,2016,1,,1,1,,,,,.0017459886,.049674928,.032666668,.13494809,1,1,.1006645,.023739863,,6.714323,.01595965,,.61933815
NE,Nebraska,2008,1,1,,,,.004634853,.019066742,.0041994136,.0022986524,.040135108,.078510873,.18824582,1,0,.089563817,.070846185,0,9.2907486,.013107155,.82733786,.63694274
NE,Nebraska,2010,1,1,0,0,1,,.011101975,.0020039165,.0021191069,.081557982,.11609907,.63890439,.97425491,0,.086546808,.029165015,0,,,.77378279,.37971747
NE,Nebraska,2012,1,1,0,1,1,.0034176554,.018551487,.003994762,.0048334412,.10554636,.045931105,.1462063,.98224187,1,.091397166,.078702815,0,5.8412137,.01226741,.81491697,.60837871
NE,Nebraska,2014,1,1,0,1,1,.0019133525,.011359044,.0021217803,.0033738301,.079216339,.05652174,.30722892,1,1,.08423692,.027151709,0,3.0101888,,.77579868,.41495216
NE,Nebraska,2016,1,1,1,1,1,.0017888187,.018638447,.0044377251,.00309836,.039303772,.046890423,.1850362,1,1,.10420382,.066933259,1,5.6218939,.01899432,.85564429,.6375072
NH,New Hampshire,2008,0,0,,,,,,,.0017639627,.047409281,.043616407,.1798152,.6875,0,.1706019,.021972194,0,7.4609556,.011948836,.84311956,.72528136
NH,New Hampshire,2010,1,1,0,1,,,,,.0014563643,.053024717,.042845596,.47249466,.8125,0,.11234184,.014918108,0,,,.77566648,.46197784
